"a" "f1" "Q" "f" "b" "mu0" "theta"
-0.0510050242782296 80.5218589605178 3.23926699762874e-08 82.9162954942368 4.96727568428973 2.33065266796209e-05 0.079
-0.0493285049350157 81.0878559819522 5.3454321951539e-08 79.6813532212832 5.01124675041734 2.90254317145492e-05 0.077
-0.0511689812864 80.8510930526064 7.62139850503178e-08 79.1205892552929 4.97473199901198 2.9787186249635e-05 0.075
-0.0526390159686115 79.3355754884257 2.68116744661144e-08 79.2597402383154 5.00851719225812 1.5517034505146e-05 0.083
-0.0523921671045785 80.4806993378144 4.52540583024307e-08 81.8448943881044 5.03834022862007 2.23763410019635e-05 0.078
-0.0487205748054897 79.8644583964072 2.73178710097883e-08 80.4293903690316 4.99270386423371 1.77927508728928e-05 0.082
-0.0507978457041703 79.5412628661574 4.11720939949763e-08 82.7771167185758 5.02150517570109 2.13835717552129e-05 0.078
-0.0472945089116559 79.9857081537669 5.55714992934593e-08 81.1438991651227 4.99680245943579 2.41153725429194e-05 0.078
-0.0489225362076284 80.264294349207 6.71476693542301e-08 79.7402047869382 5.03216324541103 2.92395332633686e-05 0.076
-0.0502327874487929 80.2272535920655 3.95820662873222e-08 80.0646299350491 5.00727406518383 2.47842480046127e-05 0.079
-0.0521796610047165 79.1176950371508 4.27461065582409e-08 78.233690200702 4.98056003913302 2.40104100873644e-05 0.079
-0.0525405398391717 79.9282340076413 5.82462452362753e-08 79.4059836760489 4.98594399129368 2.35613666625476e-05 0.078
-0.0523974521371219 79.0806624119917 3.07486430606135e-08 80.4489916264875 5.02383139311892 1.52532063256354e-05 0.083
-0.0535493235632678 80.5885180288364 5.02809452335046e-08 81.3819701256317 4.97099561389715 2.47336232899327e-05 0.078
-0.0446388792278343 81.0174913560316 4.09428348493416e-08 79.9821103958134 5.01628798721644 2.26696528135464e-05 0.079
-0.0488455067598146 78.5799199444331 5.65132205711495e-08 81.4284734025479 5.04637720618528 2.0035089593128e-05 0.079
-0.0496584270979149 79.854807965425 4.06907074929528e-08 79.1738588881982 4.99774618486762 1.86399975459339e-05 0.08
-0.051785357736309 80.0657618118731 3.38006370116496e-08 77.4673863763504 4.98366815436452 2.228785230687e-05 0.08
-0.0499367088646225 80.0250107556018 4.05989173229503e-08 80.6913092216669 4.99884492732021 2.46608060561264e-05 0.078
-0.0507833344674157 80.3638089733361 4.65672634295544e-08 81.9799063493786 5.02788652576767 2.51755348298298e-05 0.078
-0.050392141835648 79.1592312682379 5.92589471904076e-08 78.1825608994171 4.9877247610553 2.3488771629715e-05 0.077
-0.046704481227516 80.6023086710094 2.90399768757408e-08 80.6217942839405 4.95636470788014 1.19436958465796e-05 0.085
-0.0484399871610461 80.2875464016577 4.81505752179257e-08 80.8953590705325 4.99811845264361 2.10910829450504e-05 0.079
-0.0518171819399806 79.8641565819069 3.81538906251358e-08 81.2373237177249 5.00407710864435 1.99753102752356e-05 0.08
-0.0541904207631493 79.2254615201023 2.27585548001234e-08 79.9494373080966 4.9704204148771 1.21292820858423e-05 0.085
-0.0514202147777811 80.0248608497918 5.92158486123774e-08 80.2239825403092 5.01974976479112 2.5257401050951e-05 0.077
-0.0515290987438272 80.8143168934954 2.75756857219219e-08 79.8789890176526 4.97933993088639 1.35566349654932e-05 0.084
-0.0521683099287926 79.6139344128446 4.11823054508122e-08 78.9747256557409 4.98030026802131 2.61537336028268e-05 0.078
-0.0501889213372352 79.491154102535 2.06096792859572e-08 79.4938538909694 4.97115972884302 8.96743661062349e-06 0.089
-0.0491458162933823 80.0799684082751 8.97033089205931e-08 80.9813996188189 4.98629635849899 3.22030864958145e-05 0.073
-0.0545099349374796 79.8737799010237 4.31406685728943e-08 81.9436748624587 4.98168434773811 2.20236083441023e-05 0.079
-0.0482259684571066 80.2675889723834 4.31390372322529e-08 79.3815431265173 4.99167546750493 1.73392508475951e-05 0.081
-0.0520807031202891 79.5619409456807 3.22441970240847e-08 78.8019160755853 5.00538559182846 1.50860514273639e-05 0.083
-0.0514153917562059 80.8528720606955 2.43977752223124e-08 78.9781666522829 5.02763187116717 1.11696708402483e-05 0.086
-0.0479092850751884 80.3289373663552 5.67889765510561e-08 80.7465738195007 4.98707984567204 2.17043723602528e-05 0.078
-0.0488824761117249 79.9057664244822 3.18368927375144e-08 80.5508544927208 4.97623807521348 1.07842074383699e-05 0.084
-0.0528603340808835 79.9004245240353 4.51431026047763e-08 78.5259954742159 5.00807005783963 2.13818185610018e-05 0.079
-0.050039369292066 80.3999454745251 3.6702675648847e-08 76.5750301299503 5.0123601275857 1.602652075016e-05 0.082
-0.0475512754844036 81.1239312831499 6.20848374666724e-08 80.6648572771464 5.00833032841852 3.46044877722268e-05 0.075
-0.0483547925928138 80.8491962514509 4.16091402858199e-08 80.3773573057618 4.99798018304993 2.08208382680979e-05 0.079
-0.048560742881505 79.95412622185 1.95312181531794e-08 78.8052326882602 4.99572149515724 1.00697655511426e-05 0.088
-0.0475132702235774 80.1266564604213 4.88459089039872e-08 81.601487646738 4.99619674181049 1.89657198968836e-05 0.08
-0.0479272157515758 80.3315063775475 3.66895884523889e-08 80.743919634942 4.99486922693662 1.94244867586054e-05 0.081
-0.0487349223213405 79.0996812600247 6.01497525138084e-08 80.2704683702999 4.95102205627251 2.87239010153185e-05 0.076
-0.0475645814612563 79.5104457936202 2.44370949493252e-08 79.479470714202 4.98366313175056 1.85914323814963e-05 0.082
-0.0513631786183186 80.454249598492 6.4405370524118e-08 82.2208419689126 5.03856353169901 2.32494330189275e-05 0.077
-0.0545930051424396 79.4274605366771 2.9175724212948e-08 81.0452858165827 4.99295215912576 1.48577169718912e-05 0.083
-0.0511415723690853 80.7444101508618 4.27377352226658e-08 79.4826484373248 4.96948391494386 2.33091970354229e-05 0.079
-0.0520437749926598 79.8784890195683 3.1729051229301e-08 80.0074228915811 4.98535555846812 1.09482899449374e-05 0.085
-0.0488194330902609 80.3822574683908 6.60581938508465e-08 79.3678220836064 5.01337639956655 3.38294714152803e-05 0.074
-0.0522656032461606 79.5751812059524 5.57160631460972e-08 79.5316782111393 4.9815768952138 1.99172035536743e-05 0.078
-0.0523785190478389 80.1638006790383 3.23915338427525e-08 80.9671873992817 4.9965714850638 1.39956892501023e-05 0.083
-0.0489035583606577 80.4830882302459 2.43270380405929e-08 81.9134822731251 4.95772648066065 1.12716425520767e-05 0.086
-0.0543303239354972 79.9493196206798 4.92417233649217e-08 79.9078605360577 4.98916097082745 2.45422980318127e-05 0.078
-0.0491565692180673 79.7011928061577 4.71388188850365e-08 79.4949387558471 4.98483307422757 2.23226425546622e-05 0.079
-0.0508139354176119 79.3674159218039 2.38115306898597e-08 80.6959755670665 5.02181484072873 1.09160166406587e-05 0.086
-0.0493087051086327 80.1377975731297 4.59638948876416e-08 79.3428875621802 5.02065331226414 2.0981007103986e-05 0.08
-0.048751358856042 80.110961242169 4.41992990011572e-08 78.7906454093751 5.02047881319845 1.94335554384381e-05 0.08
-0.045646261467518 80.8156649413314 1.99173781971854e-08 78.804577409564 4.98035916519404 1.13004622052219e-05 0.086
-0.0513534268417203 79.8474998553464 2.19249608823016e-08 78.6815629082084 5.03054808789696 1.2618134835074e-05 0.086
-0.0504341172455328 80.4842087100052 2.461382136822e-08 81.5962398090703 4.98653664881387 1.51066384330237e-05 0.084
-0.0522838794610133 79.314474349502 3.60134771990982e-08 80.6965775750245 5.0107223329298 1.69328275678355e-05 0.082
-0.0495951054613298 80.7680152883714 6.45127124385526e-08 79.1846871412699 5.01418384147174 3.14562674848041e-05 0.075
-0.0478635412753751 81.3656610233876 4.48541399997225e-08 80.0743743865476 5.00233169676629 2.77499348721766e-05 0.077
-0.0496324868653172 79.5413754579157 3.03832735010592e-08 80.375453516898 5.0024917070234 1.33234929016661e-05 0.084
-0.0464136555279782 79.3821284787643 3.83607502777006e-08 80.3552154516631 5.00370324801052 1.50736404844576e-05 0.082
-0.0518547624743696 80.2541365999062 7.40981417268071e-08 78.5512453139833 4.99308310311346 3.172338656923e-05 0.074
-0.0487066982012484 79.9090134711382 5.63936912507805e-08 78.9939348395191 4.99848034826373 2.22134723603524e-05 0.078
-0.0499312242455004 79.8781602743724 3.74967984896188e-08 79.8875453939808 4.98138732560831 1.4418988204024e-05 0.083
-0.0493171046850015 79.7528717121421 5.80047397820948e-08 81.666604719101 4.99505539393832 3.29237272464449e-05 0.075
-0.0512653788209989 80.1965952049038 3.84263832793716e-08 81.4927470068436 4.98534679609341 1.83417945597376e-05 0.081
-0.0531753068163007 80.0243618811981 5.22484531765491e-08 81.7400829716972 5.00149310348795 3.7798572021638e-05 0.074
-0.0496807414182657 81.0836078052393 3.85570353961923e-08 78.3146199827281 5.01510730951861 2.15420053470249e-05 0.08
-0.0494354073210247 80.8042936040423 2.97588531840499e-08 79.1723692195418 5.01633922286873 1.82208213781311e-05 0.081
-0.0481523191549634 79.070962582634 5.1892208750899e-08 79.6514402621481 4.99613643612251 2.92506435352951e-05 0.077
-0.050885512844814 79.191396438707 6.68033856754771e-08 81.432090420122 4.99592484328521 2.88936843633149e-05 0.075
-0.051131435737086 81.1910623789476 8.32511071669714e-08 78.8114044001913 4.97506020242896 2.86936923255586e-05 0.075
-0.0494834809567908 81.0365719019348 3.15242142841395e-08 78.8055427128255 4.98891606154384 1.46267695253543e-05 0.083
-0.0508007925374765 80.6619896898231 3.02641502382948e-08 78.8938169214327 5.01073101381213 1.54461158155713e-05 0.082
-0.0514859901540978 80.6964936425046 4.78987626720163e-08 79.2540833855857 5.00726358988524 2.77929687461398e-05 0.077
-0.0479704366865388 80.3424419873234 4.8114946715822e-08 80.5927333797387 5.00763821534907 3.22326526730738e-05 0.076
-0.0489676720616847 80.186105491533 5.34115403452811e-08 79.3985588664579 5.02741691721612 1.82041081736216e-05 0.079
