"a" "f1" "Q" "f" "b" "mu0" "theta"
-0.44671529572784 80.3862975597384 3.21546309497815e-08 81.5536004053082 11.0465915675277 2.26907655733364e-05 0.08
-0.44836563427029 79.9642269814419 2.90000068505205e-08 81.3565335953255 11.3330706968557 2.16436258911528e-05 0.081
-0.452894464009856 79.3821933176066 3.21918161099132e-08 79.3199532221058 11.3638613522383 1.54949504880756e-05 0.082
-0.461538975470699 80.3267086429418 3.52442960023053e-08 78.8183343897929 11.493590425345 2.18072590075005e-05 0.08
-0.46615592423231 80.180951628949 1.95220642802843e-08 82.0531873398492 11.6788108661632 1.39465678662524e-05 0.085
-0.465566513202283 80.0854497446797 4.45412806561839e-08 80.4333060773511 11.8773974790196 3.49126829415161e-05 0.076
-0.453869069979511 79.7707942076974 3.36246306556033e-08 78.706900480445 11.4105437815161 1.48224488446607e-05 0.083
-0.468557068398444 79.7644762326966 2.20623032774343e-08 79.4453514614709 11.8467491058796 1.45739734438779e-05 0.085
-0.473457575124722 80.2891375934979 3.61822375353711e-08 81.1748823134122 11.8220612678704 3.19148050772326e-05 0.076
-0.46725288447296 80.2186659071264 2.73332270421577e-08 79.3954230235953 11.7184067450957 1.93987665640591e-05 0.081
-0.463564408649475 80.0562427150766 3.07808274279925e-08 81.6392794641328 11.2653675615271 2.30568627414788e-05 0.08
-0.455396404212525 79.4260411897381 2.87575074562316e-08 81.758400292735 11.4521359506832 1.36207726386899e-05 0.084
-0.49595409428311 79.6126946048667 5.01865763026769e-08 80.7139280176699 11.8324112061045 4.14505789455804e-05 0.074
-0.47102056809079 79.9772443586661 2.69730494405921e-08 78.5922805049278 11.5767751141526 1.85308733831865e-05 0.082
-0.483958798093208 79.6135979687398 3.16425043419447e-08 81.0930506131751 11.824664142363 2.49756644734238e-05 0.079
-0.436397291699722 79.9325100200673 3.38561264874404e-08 80.9512668520118 11.1447061402853 2.47229839744812e-05 0.079
-0.449111676123229 79.7753621945236 1.78953600362156e-08 79.5277151751224 11.1903350909755 1.35444875285987e-05 0.085
-0.457280935550074 79.9814584526655 4.09982813025336e-08 79.5778504520314 11.6913734288684 2.16693672325993e-05 0.079
-0.473604631865744 79.5260691234943 2.75160863450811e-08 80.6404323176852 11.5958468942347 1.75520517987213e-05 0.083
-0.471570349823063 79.9677697960822 4.31719935968391e-08 79.0731013593189 11.6168397919109 2.72128947505943e-05 0.076
-0.487512616002602 79.7552646656751 2.40388949409092e-08 81.1758294711332 12.0373686424418 1.26767538164124e-05 0.085
-0.383638933867292 80.1558687008044 4.46745066715899e-08 78.5361359211839 10.290148143126 2.91895194828162e-05 0.077
-0.462221584715773 80.2242874739595 3.57860435179801e-08 80.0938565276416 11.1554294954578 2.54085734031998e-05 0.078
-0.458002961993234 79.9984333591504 1.32124307306719e-08 79.0100443943799 11.5896598340222 1.51986468843079e-05 0.086
-0.465102450629682 79.5026646476455 1.91711719323036e-08 79.3633286019412 11.5835661750532 9.70392483602649e-06 0.089
-0.439890059884985 80.0385376178925 1.56809508557749e-08 79.5466802191167 11.4381822900534 1.19985585028405e-05 0.087
-0.457019298475962 79.883617568738 3.49322698056386e-08 80.6329061639426 11.1047277350729 1.96159983371867e-05 0.08
-0.43218698350416 79.8664181493199 1.29558774287037e-08 80.4681740175072 11.2196202096897 1.38924648549564e-05 0.086
-0.459919533804882 79.419031743354 2.89377050900877e-08 81.2279987918926 11.2865022802847 2.19085016851182e-05 0.08
-0.484526786226132 79.8177251779049 4.32530224116612e-08 76.9999023760028 12.0750012868779 3.8702915733719e-05 0.074
-0.464066707842237 80.8203707089232 2.75266984151724e-08 80.6705663385863 11.4507224370959 1.69375291351007e-05 0.083
-0.46763261681102 79.6638313314972 4.96451272900203e-08 78.1003096437512 11.5327512759072 2.31885006039367e-05 0.078
-0.465558162416453 79.8646756747898 2.8191217933021e-08 76.6269522452935 11.5390822084575 2.1077607899557e-05 0.081
