"a" "f1" "Q" "f" "b" "mu0" "theta"
-0.0543533291346197 80.5890351408351 4.42124836448366e-08 79.2647963828967 4.98397699943558 2.34059619143078e-05 0.078
-0.0486451551692914 80.0171685708417 1.89800995313433e-08 78.9738993118757 5.00624827318289 1.37479408533997e-05 0.086
-0.051099093755441 79.6162738591997 2.30747974989768e-08 78.7682666428877 4.99575483594075 8.84979020793767e-06 0.089
-0.0466202172830408 79.6103427223371 2.08648525776009e-08 80.4019135909866 4.99115970708464 1.0698217085727e-05 0.087
-0.053609739317259 79.7087557218533 3.98670501660664e-08 81.2623900805156 4.97964375103963 1.60848611319544e-05 0.081
-0.0502385623463337 79.8844182051207 2.10227290976824e-08 82.4138502828419 5.01371459981597 1.1955901881488e-05 0.086
-0.0525974255693977 79.1712824885739 3.45756871187369e-08 80.786849526757 5.00023950588591 1.82765244815669e-05 0.081
-0.048134574846903 80.1116430959978 5.74728592522164e-08 78.4306252752806 4.97645217217519 2.89156260528398e-05 0.076
-0.0516310608763511 80.2078647658688 3.51774572194873e-08 80.822806053331 4.97198460463288 1.52422081549288e-05 0.083
-0.0515398065208214 79.4943425186845 5.66333092595628e-08 79.693345927073 5.01969363292588 2.1720283824052e-05 0.078
-0.0513531462818265 80.3050076224052 4.12664632239503e-08 78.7395138866755 4.99373899611447 1.86549053181348e-05 0.081
-0.0481315454144726 80.1534837965039 5.23576856383735e-08 80.6285371059584 4.98531295354061 2.16091949436457e-05 0.078
-0.0486029148114209 79.4686227188889 8.04048510548642e-08 80.1030021693495 4.9763450238856 4.1110059154042e-05 0.072
-0.051352245455544 79.6346152672846 3.02945343591166e-08 79.4993739660463 4.99688073698078 1.95443021238162e-05 0.08
-0.0476208196123268 79.7691310742887 5.1526374536415e-08 81.0807107420902 4.98460238749903 2.76578280131673e-05 0.077
-0.0514527074440583 80.6015075113121 3.43568634502939e-08 80.3417116707668 4.99609587749706 1.44346848206035e-05 0.083
-0.0564033949964103 80.1435936270682 5.74387613514053e-08 79.5637380390673 5.02773205948954 2.78332348239735e-05 0.077
-0.0501745397376052 79.6257783305808 2.38856900671186e-08 79.2023205650757 4.96499811135837 1.57029589301473e-05 0.083
-0.0523540975899126 79.7045953406716 4.13943551467761e-08 79.7279141128439 4.96852126730091 2.60599291229887e-05 0.078
-0.0464472591920277 79.6581233865228 3.01928968771565e-08 81.3173124894003 4.99987642556557 1.92203483930671e-05 0.08
-0.0542552900881363 79.2141573338666 6.79935922690571e-08 79.7935098270269 4.99055364039505 3.23231363590539e-05 0.075
-0.0506366706771951 80.160159939301 4.60149467260665e-08 81.076002943613 5.00989018908186 2.1848903136932e-05 0.079
-0.0501934223492768 80.727021050537 4.53981160155432e-08 82.1186871551949 4.99416139428279 2.10292511324671e-05 0.079
-0.0467419645287186 79.8113843096241 3.21621740064697e-08 78.3016083298032 4.99422872300127 2.26490844655235e-05 0.08
-0.0491995731240238 80.3453125894647 4.90775597569313e-08 81.3254575198631 5.01941932536551 1.82111876248643e-05 0.08
-0.0521978633971724 80.6038570587035 4.31347781832941e-08 81.49788334391 5.00656497115906 2.38937206006567e-05 0.078
-0.0546747931933158 80.0544555129891 2.49383601701961e-08 79.2029495403905 4.98192160515178 1.20869797917695e-05 0.085
-0.0467714089368386 80.6501687709663 3.66175491218296e-08 79.568730487535 4.98248706235959 1.83214688342516e-05 0.081
-0.0473104548084962 80.1837572346229 6.23982729012823e-08 79.2803967193322 4.98789716039517 2.50022047436205e-05 0.076
-0.0494814712637166 79.6265250724254 5.39675403555045e-08 79.6612930005367 5.00496718220854 1.51394084219969e-05 0.081
-0.0494793794696206 80.0708848730206 3.18988850288439e-08 81.4632639182957 4.99719773439299 2.18515999562782e-05 0.08
-0.0507181684341347 80.5101593328958 4.64545941640238e-08 78.7400750280443 4.965216597411 1.79308678455753e-05 0.08
-0.0522765862941904 79.6671134180685 3.15074001416954e-08 79.5889169021591 5.01710151815371 1.49037666753519e-05 0.084
-0.050782828374342 79.9481955195573 3.58609435454725e-08 82.2341691811769 4.9906303580327 1.40330829285283e-05 0.083
-0.0466721124573517 80.6047902010566 5.18286275612184e-08 78.9578609093225 4.95704941960804 2.22000406206497e-05 0.079
-0.0508337342703373 80.1336938438811 2.76661900664002e-08 80.9112353412828 5.01916370663623 1.43755289554421e-05 0.084
-0.0512998595018612 80.0239341183937 2.50633772401936e-08 80.1026808903557 5.00228493571723 1.30900632254936e-05 0.084
-0.0501366392656606 80.613812969482 5.73140156761607e-08 80.1840956838293 4.98753221088862 2.89409999877338e-05 0.077
-0.0502973344049679 81.1831122087869 3.89118311549909e-08 79.7044737331389 5.00476951642558 1.88701205244435e-05 0.081
